rank,word,part_of_speech,meaning,sentence_example_polish,english_translation,source_reference
30,mam,verb,I have,,,https://en.wiktionary.org/wiki/mam
31,jesteś,,you are,,,https://en.wiktionary.org/wiki/jeste%C5%9B
32,pan,noun,"gentleman, man",,,https://en.wiktionary.org/wiki/pan
33,coś,,something,,,https://en.wiktionary.org/wiki/co%C5%9B
34,dla,preposition,for,,,https://en.wiktionary.org/wiki/dla
35,wiem,verb,I know,,,https://en.wiktionary.org/wiki/wiem
36,dobrze,adverb,well,,,https://en.wiktionary.org/wiki/dobrze
37,jeśli,,if,,,https://en.wiktionary.org/wiki/je%C5%9Bli
38,od,preposition,"; from, away",,,https://en.wiktionary.org/wiki/od
39,teraz,adverb,now,,,https://en.wiktionary.org/wiki/teraz
40,proszę,,please,,,https://en.wiktionary.org/wiki/prosz%C4%99
41,tam,adverb,there,,,https://en.wiktionary.org/wiki/tam
42,wszystko,pronoun,everything,,,https://en.wiktionary.org/wiki/wszystko
43,masz,interjection,here you are,,,https://en.wiktionary.org/wiki/masz
44,więc,,so,,,https://en.wiktionary.org/wiki/wi%C4%99c
45,nic,pronoun,nothing,,,https://en.wiktionary.org/wiki/nic
46,być,,to be,,,https://en.wiktionary.org/wiki/by%C4%87
47,będzie,,will be,,,https://en.wiktionary.org/wiki/b%C4%99dzie
48,gdzie,adverb,where,,,https://en.wiktionary.org/wiki/gdzie
49,są,,are,,,https://en.wiktionary.org/wiki/s%C4%85
50,on,pronoun,"he , it",,,https://en.wiktionary.org/wiki/on
51,mogę,,can,,,https://en.wiktionary.org/wiki/mog%C4%99
52,ten,pronoun,this,,,https://en.wiktionary.org/wiki/ten
53,ciebie,pronoun,you,,,https://en.wiktionary.org/wiki/ciebie
54,sobie,pronoun,to oneself,,,https://en.wiktionary.org/wiki/sobie
55,wiesz,adjective,you know,,,https://en.wiktionary.org/wiki/wiesz
56,ze,preposition,from,,,https://en.wiktionary.org/wiki/ze
57,bardzo,adverb,very,,,https://en.wiktionary.org/wiki/bardzo
58,jej,pronoun,her:,,,https://en.wiktionary.org/wiki/jej
59,kiedy,pronoun,; when,,,https://en.wiktionary.org/wiki/kiedy
60,był,,was,,,https://en.wiktionary.org/wiki/by%C5%82
61,jeszcze,particle,yet,,,https://en.wiktionary.org/wiki/jeszcze
62,nas,pronoun,us,,,https://en.wiktionary.org/wiki/nas
63,chcę,,want,,,https://en.wiktionary.org/wiki/chc%C4%99
64,mój,,my,,,https://en.wiktionary.org/wiki/m%C3%B3j
65,było,,was,,,https://en.wiktionary.org/wiki/by%C5%82o
66,no,interjection,"yeah, yep",,,https://en.wiktionary.org/wiki/no
67,przez,preposition,across,,,https://en.wiktionary.org/wiki/przez
68,by,particle,"; would, would've",,,https://en.wiktionary.org/wiki/by
69,pani,noun,madam,,,https://en.wiktionary.org/wiki/pani
70,ją,,her,,,https://en.wiktionary.org/wiki/j%C4%85
71,jego,pronoun,his:,,,https://en.wiktionary.org/wiki/jego
72,ich,pronoun,"possessive pronoun for or , namely their or theirs",,,https://en.wiktionary.org/wiki/ich
73,dlaczego,pronoun,why,,,https://en.wiktionary.org/wiki/dlaczego
74,chcesz,verb,want,,,https://en.wiktionary.org/wiki/chcesz
75,żeby,,that,,,https://en.wiktionary.org/wiki/%C5%BCeby
76,tutaj,adverb,here,,,https://en.wiktionary.org/wiki/tutaj
77,mamy,verb,have,,,https://en.wiktionary.org/wiki/mamy
78,też,,also,,,https://en.wiktionary.org/wiki/te%C5%BC
79,bo,conjunction,"because, for",,,https://en.wiktionary.org/wiki/bo
80,dobra,particle,; alright,,,https://en.wiktionary.org/wiki/dobra
81,kto,pronoun,who,,,https://en.wiktionary.org/wiki/kto
82,nigdy,adverb,never,,,https://en.wiktionary.org/wiki/nigdy
83,przepraszam,interjection,"sorry; I'm sorry, excuse me",,,https://en.wiktionary.org/wiki/przepraszam
84,mu,interjection,moo,,,https://en.wiktionary.org/wiki/mu
85,naprawdę,,really,,,https://en.wiktionary.org/wiki/naprawd%C4%99
86,możesz,,can,,,https://en.wiktionary.org/wiki/mo%C5%BCesz
87,chyba,particle,"; probably; I think, I guess",,,https://en.wiktionary.org/wiki/chyba
88,porządku,,order,,,https://en.wiktionary.org/wiki/porz%C4%85dku
89,dziękuję,,thank you,,,https://en.wiktionary.org/wiki/dzi%C4%99kuj%C4%99
90,muszę,,must,,,https://en.wiktionary.org/wiki/musz%C4%99
91,panie,pronoun,sir,,,https://en.wiktionary.org/wiki/panie
92,właśnie,,just,,,https://en.wiktionary.org/wiki/w%C5%82a%C5%9Bnie
93,ona,pronoun,"she (for animate nouns), it (for inanimate feminine nouns)",,,https://en.wiktionary.org/wiki/ona
94,domu,noun,home,,,https://en.wiktionary.org/wiki/domu
95,zrobić,,do,,,https://en.wiktionary.org/wiki/zrobi%C4%87
96,nawet,particle,even,,,https://en.wiktionary.org/wiki/nawet
97,gdy,conjunction,"when, as",,,https://en.wiktionary.org/wiki/gdy
98,prawda,noun,truth,,,https://en.wiktionary.org/wiki/prawda
99,te,pronoun,these,,,https://en.wiktionary.org/wiki/te
100,nam,pronoun,to us,,,https://en.wiktionary.org/wiki/nam
101,będę,verb,I will be,,,https://en.wiktionary.org/wiki/b%C4%99d%C4%99
102,zawsze,adverb,always,,,https://en.wiktionary.org/wiki/zawsze
103,bez,noun,elder,,,https://en.wiktionary.org/wiki/bez
104,nim,conjunction,before,,,https://en.wiktionary.org/wiki/nim
105,je,pronoun,it / them,,,https://en.wiktionary.org/wiki/je
106,była,verb,was,,,https://en.wiktionary.org/wiki/by%C5%82a
107,jesteśmy,verb,we are,,,https://en.wiktionary.org/wiki/jeste%C5%9Bmy
108,dzięki,noun,thanks,,,https://en.wiktionary.org/wiki/dzi%C4%99ki
109,tej,pronoun,this (fem.),,,https://en.wiktionary.org/wiki/tej
110,moja,noun,;,,,https://en.wiktionary.org/wiki/moja
111,trochę,adverb,a little,,,https://en.wiktionary.org/wiki/troch%C4%99
112,ktoś,pronoun,someone,,,https://en.wiktionary.org/wiki/kto%C5%9B
113,musisz,verb,you must,,,https://en.wiktionary.org/wiki/musisz
114,cześć,interjection,hi / hello,,,https://en.wiktionary.org/wiki/cze%C5%9B%C4%87
115,hej,interjection,hey,,,https://en.wiktionary.org/wiki/hej
116,lat,noun,years,,,https://en.wiktionary.org/wiki/lat
117,moje,pronoun,my / mine,,,https://en.wiktionary.org/wiki/moje
118,pana,noun,flat tire,,,https://en.wiktionary.org/wiki/pana
119,musimy,verb,we must,,,https://en.wiktionary.org/wiki/musimy
120,dalej,adverb,further,,,https://en.wiktionary.org/wiki/dalej
121,twój,pronoun,your,,,https://en.wiktionary.org/wiki/tw%C3%B3j
122,wszyscy,pronoun,all,,,https://en.wiktionary.org/wiki/wszyscy
123,czas,noun,time,,,https://en.wiktionary.org/wiki/czas
124,chce,verb,wants,,,https://en.wiktionary.org/wiki/chce
125,który,pronoun,which,,,https://en.wiktionary.org/wiki/kt%C3%B3ry
126,więcej,adverb,more,,,https://en.wiktionary.org/wiki/wi%C4%99cej
127,tobą,pronoun,you (instr.),,,https://en.wiktionary.org/wiki/tob%C4%85
128,boże,interjection,oh God,,,https://en.wiktionary.org/wiki/bo%C5%BCe
129,powiedzieć,verb,to say / tell,,,https://en.wiktionary.org/wiki/powiedzie%C4%87
130,sam,adjective,alone,,,https://en.wiktionary.org/wiki/sam
131,chodzi,verb,goes / walks,,,https://en.wiktionary.org/wiki/chodzi
132,czego,pronoun,what,,,https://en.wiktionary.org/wiki/czego
133,ta,pronoun,this,,,https://en.wiktionary.org/wiki/ta
134,możemy,verb,we can,,,https://en.wiktionary.org/wiki/mo%C5%BCemy
135,albo,conjunction,or,,,https://en.wiktionary.org/wiki/albo
136,mną,pronoun,me (instr.),,,https://en.wiktionary.org/wiki/mn%C4%85
137,razem,adverb,together,,,https://en.wiktionary.org/wiki/razem
138,niech,particle,"; let, may",,,https://en.wiktionary.org/wiki/niech
139,dobry,adjective,good,,,https://en.wiktionary.org/wiki/dobry
140,raz,noun,time,,,https://en.wiktionary.org/wiki/raz
141,stało,verb,happened,,,https://en.wiktionary.org/wiki/sta%C5%82o
142,was,pronoun,you (pl.),,,https://en.wiktionary.org/wiki/was
143,czym,pronoun,what / with what,,,https://en.wiktionary.org/wiki/czym
144,prostu,noun,simply,,,https://en.wiktionary.org/wiki/prostu
145,będziesz,verb,you will be,,,https://en.wiktionary.org/wiki/b%C4%99dziesz
146,chodź,interjection,come on,,,https://en.wiktionary.org/wiki/chod%C5%BA
147,czemu,pronoun,why,,,https://en.wiktionary.org/wiki/czemu
148,przed,preposition,"; before, in front of; ahead of",,,https://en.wiktionary.org/wiki/przed
149,ludzi,noun,people,,,https://en.wiktionary.org/wiki/ludzi
150,daj,verb,give,,,https://en.wiktionary.org/wiki/daj
151,ludzie,noun,; people,,,https://en.wiktionary.org/wiki/ludzie
152,dzień,,day,,,https://en.wiktionary.org/wiki/dzie%C5%84
153,przy,preposition,"by, at, next to, near",,,https://en.wiktionary.org/wiki/przy
154,życie,,life,,,https://en.wiktionary.org/wiki/%C5%BCycie
155,niż,,than,,,https://en.wiktionary.org/wiki/ni%C5%BC
156,robisz,verb,you do; you are doing,,,https://en.wiktionary.org/wiki/robisz
157,myślę,,I think,,,https://en.wiktionary.org/wiki/my%C5%9Bl%C4%99
158,lepiej,adverb,better,,,https://en.wiktionary.org/wiki/lepiej
159,kim,pronoun,who (instrumental of kto),,,https://en.wiktionary.org/wiki/kim
160,myślisz,,you think,,,https://en.wiktionary.org/wiki/my%C5%9Blisz
161,miał,,he had,,,https://en.wiktionary.org/wiki/mia%C5%82
162,my,pronoun,we;,,,https://en.wiktionary.org/wiki/my
163,nikt,pronoun,"no one, nobody",,,https://en.wiktionary.org/wiki/nikt
164,czasu,noun,time (genitive),,,https://en.wiktionary.org/wiki/czasu
165,powiedz,verb,say; tell (imperative),,,https://en.wiktionary.org/wiki/powiedz
166,rzeczy,noun,things,,,https://en.wiktionary.org/wiki/rzeczy
167,twoja,pronoun,your (feminine),,,https://en.wiktionary.org/wiki/twoja
168,tych,pronoun,these; those (genitive/plural),,,https://en.wiktionary.org/wiki/tych
169,stąd,,from here; hence,,,https://en.wiktionary.org/wiki/st%C4%85d
170,niego,pronoun,him; of him (genitive/accusative),,,https://en.wiktionary.org/wiki/niego
171,mówi,,he/she says,,,https://en.wiktionary.org/wiki/m%C3%B3wi
172,im,conjunction,the more; to them,,,https://en.wiktionary.org/wiki/im
173,temu,pronoun,ago,,,https://en.wiktionary.org/wiki/temu
174,jeden,numeral,one,,,https://en.wiktionary.org/wiki/jeden
175,pod,preposition,"; under, underneath",,,https://en.wiktionary.org/wiki/pod
176,musi,particle,must; has to,,,https://en.wiktionary.org/wiki/musi
177,siebie,pronoun,oneself; yourself,,,https://en.wiktionary.org/wiki/siebie
178,twoje,pronoun,your (neuter/plural),,,https://en.wiktionary.org/wiki/twoje
179,powiedział,,he said,,,https://en.wiktionary.org/wiki/powiedzia%C5%82
180,oczywiście,,of course; obviously,,,https://en.wiktionary.org/wiki/oczywi%C5%9Bcie
181,ok,noun,ok; okay,,,https://en.wiktionary.org/wiki/ok
182,moim,pronoun,my (locative masculine/neuter),,,https://en.wiktionary.org/wiki/moim
183,oni,pronoun,they,,,https://en.wiktionary.org/wiki/oni
184,dwa,numeral,two,,,https://en.wiktionary.org/wiki/dwa
185,które,,which; that (neuter/plural),,,https://en.wiktionary.org/wiki/kt%C3%B3re
186,pewnie,adverb,"surely, certainly",,,https://en.wiktionary.org/wiki/pewnie
187,dziś,,today,,,https://en.wiktionary.org/wiki/dzi%C5%9B
188,kurwa,noun,"prostitute, whore",,,https://en.wiktionary.org/wiki/kurwa
189,wie,verb,he/she knows,,,https://en.wiktionary.org/wiki/wie
190,taki,pronoun,such,,,https://en.wiktionary.org/wiki/taki
191,aby,conjunction,"to, in order to, so that",,,https://en.wiktionary.org/wiki/aby
192,skąd,,where from; how do you know,,,https://en.wiktionary.org/wiki/sk%C4%85d
193,cholera,noun,damn; hell (expletive),,,https://en.wiktionary.org/wiki/cholera
194,dzieje,noun,history,,,https://en.wiktionary.org/wiki/dzieje
195,wygląda,,it looks; appears,,,https://en.wiktionary.org/wiki/wygl%C4%85da
196,wtedy,adverb,"back then, then",,,https://en.wiktionary.org/wiki/wtedy
197,mojego,pronoun,my (genitive masculine),,,https://en.wiktionary.org/wiki/mojego
198,takie,pronoun,such; like this (neuter/plural),,,https://en.wiktionary.org/wiki/takie
199,ile,pronoun,"; how much, how many",,,https://en.wiktionary.org/wiki/ile
200,wszystkie,pronoun,"everybody, everyone",,,https://en.wiktionary.org/wiki/wszystkie
201,mieć,,to have,,,https://en.wiktionary.org/wiki/mie%C4%87
202,dlatego,particle,that's why,,,https://en.wiktionary.org/wiki/dlatego
203,znaczy,particle,"in other words, namely, that is, that is to say",,,https://en.wiktionary.org/wiki/znaczy
204,będziemy,,we will be; we will,,,https://en.wiktionary.org/wiki/b%C4%99dziemy
205,potem,adverb,"then, later, afterwards",,,https://en.wiktionary.org/wiki/potem
206,jasne,interjection,"of course, naturally, sure, sure thing",,,https://en.wiktionary.org/wiki/jasne
207,iść,,to go,,,https://en.wiktionary.org/wiki/i%C5%9B%C4%87
208,dużo,,a lot; much; many,,,https://en.wiktionary.org/wiki/du%C5%BCo
209,cóż,,well; so (interjection),,,https://en.wiktionary.org/wiki/c%C3%B3%C5%BC
210,tę,,this (feminine accusative),,,https://en.wiktionary.org/wiki/t%C4%99
211,byłem,,I was (masculine),,,https://en.wiktionary.org/wiki/by%C5%82em
212,rozumiem,verb,I understand,,,https://en.wiktionary.org/wiki/rozumiem
213,wam,pronoun,to you (plural dative),,,https://en.wiktionary.org/wiki/wam
214,miejsce,noun,"place, room, space",,,https://en.wiktionary.org/wiki/miejsce
215,cały,,whole; entire,,,https://en.wiktionary.org/wiki/ca%C5%82y
216,trzeba,verb,"; it is needed, one ought to",,,https://en.wiktionary.org/wiki/trzeba
217,moją,,my (feminine accusative),,,https://en.wiktionary.org/wiki/moj%C4%85
218,można,,one can; it is possible,,,https://en.wiktionary.org/wiki/mo%C5%BCna
219,pomóc,,to help,,,https://en.wiktionary.org/wiki/pom%C3%B3c
220,jako,preposition,as,,,https://en.wiktionary.org/wiki/jako
221,nich,pronoun,them (genitive/locative plural),,,https://en.wiktionary.org/wiki/nich
222,szybko,adverb,"quickly, rapidly, fast, swiftly",,,https://en.wiktionary.org/wiki/szybko
223,jakiś,,some; a certain (masculine),,,https://en.wiktionary.org/wiki/jaki%C5%9B
224,mojej,pronoun,my (feminine genitive/dative/locative),,,https://en.wiktionary.org/wiki/mojej
225,nią,,her; it (feminine instrumental),,,https://en.wiktionary.org/wiki/ni%C4%85
226,mają,,they have,,,https://en.wiktionary.org/wiki/maj%C4%85
227,wszystkich,pronoun,all; everyone (genitive/plural),,,https://en.wiktionary.org/wiki/wszystkich
228,jakieś,,some; a few (neuter/plural),,,https://en.wiktionary.org/wiki/jakie%C5%9B
229,wiedzieć,,to know,,,https://en.wiktionary.org/wiki/wiedzie%C4%87
230,swoje,pronoun,one's own (neuter/plural),,,https://en.wiktionary.org/wiki/swoje
231,przykro,adverb,sorry,,,https://en.wiktionary.org/wiki/przykro
232,stary,adjective,old,,,https://en.wiktionary.org/wiki/stary
233,zaraz,adverb,"at once, immediately",,,https://en.wiktionary.org/wiki/zaraz
234,myśli,,thoughts; he/she thinks,,,https://en.wiktionary.org/wiki/my%C5%9Bli
235,dzieci,noun,children,,,https://en.wiktionary.org/wiki/dzieci
236,nad,preposition,"; above, over",,,https://en.wiktionary.org/wiki/nad
237,wiele,numeral,"many, much",,,https://en.wiktionary.org/wiki/wiele
238,kochanie,noun,"love, honey, darling, sweetheart",,,https://en.wiktionary.org/wiki/kochanie
239,kilka,determiner,more than two but less than ten ; several; few,,,https://en.wiktionary.org/wiki/kilka
240,mówię,,I say; I am saying,,,https://en.wiktionary.org/wiki/m%C3%B3wi%C4%99
241,mówisz,,you say; you are saying,,,https://en.wiktionary.org/wiki/m%C3%B3wisz
242,zanim,conjunction,before,,,https://en.wiktionary.org/wiki/zanim
243,miałem,,I had (masculine),,,https://en.wiktionary.org/wiki/mia%C5%82em
244,kocham,verb,I love,,,https://en.wiktionary.org/wiki/kocham
245,świetnie,,great; excellent,,,https://en.wiktionary.org/wiki/%C5%9Bwietnie
246,tobie,pronoun,to you; for you (dative),,,https://en.wiktionary.org/wiki/tobie
247,takiego,pronoun,such; of this kind (genitive masculine),,,https://en.wiktionary.org/wiki/takiego
248,tyle,numeral,"; this much, this many; as many as; as much as",,,https://en.wiktionary.org/wiki/tyle
249,robić,,to do; to make,,,https://en.wiktionary.org/wiki/robi%C4%87
250,trzy,numeral,three,,,https://en.wiktionary.org/wiki/trzy
251,idź,,go (imperative),,,https://en.wiktionary.org/wiki/id%C5%BA
252,kogoś,,someone; somebody (genitive/accusative),,,https://en.wiktionary.org/wiki/kogo%C5%9B
253,ani,conjunction,"neither, nor, or",,,https://en.wiktionary.org/wiki/ani
254,pewno,adverb,"absolutely, for certain, certainly, definitely, for sure",,,https://en.wiktionary.org/wiki/pewno
255,myślałem,,I thought (masculine),,,https://en.wiktionary.org/wiki/my%C5%9Bla%C5%82em
256,widzisz,verb,you see; do you see,,,https://en.wiktionary.org/wiki/widzisz
257,kiedyś,,once; sometime; ever,,,https://en.wiktionary.org/wiki/kiedy%C5%9B
258,robi,verb,he/she does; makes,,,https://en.wiktionary.org/wiki/robi
259,widzę,,I see,,,https://en.wiktionary.org/wiki/widz%C4%99
260,jaki,pronoun,"; what, what... like",,,https://en.wiktionary.org/wiki/jaki
261,niej,pronoun,her; of her (genitive/locative feminine),,,https://en.wiktionary.org/wiki/niej
262,ojciec,noun,father,,,https://en.wiktionary.org/wiki/ojciec
263,zbyt,noun,sale,,,https://en.wiktionary.org/wiki/zbyt
264,która,,which; who (feminine nominative),,,https://en.wiktionary.org/wiki/kt%C3%B3ra
265,zobaczyć,,to see; to look,,,https://en.wiktionary.org/wiki/zobaczy%C4%87
266,przestań,,stop (imperative),,,https://en.wiktionary.org/wiki/przesta%C5%84
267,sposób,,way; method,,,https://en.wiktionary.org/wiki/spos%C3%B3b
268,pracy,noun,work; job (genitive),,,https://en.wiktionary.org/wiki/pracy
269,dzisiaj,adverb,today,,,https://en.wiktionary.org/wiki/dzisiaj
270,sie,noun,"oneself (reflexive, archaic/dialectal spelling)",,,https://en.wiktionary.org/wiki/sie
271,później,,later; afterwards,,,https://en.wiktionary.org/wiki/p%C3%B3%C5%BAniej
272,bardziej,adverb,more,,,https://en.wiktionary.org/wiki/bardziej
273,będą,,they will be; they will,,,https://en.wiktionary.org/wiki/b%C4%99d%C4%85
274,aż,,until; as far as; even,,,https://en.wiktionary.org/wiki/a%C5%BC
275,życia,,life (genitive),,,https://en.wiktionary.org/wiki/%C5%BCycia
276,jutro,noun,tomorrow,,,https://en.wiktionary.org/wiki/jutro
277,tą,,this (feminine instrumental),,,https://en.wiktionary.org/wiki/t%C4%85
278,rację,,right; to be right,,,https://en.wiktionary.org/wiki/racj%C4%99
279,żebyś,,so that you (would),,,https://en.wiktionary.org/wiki/%C5%BCeby%C5%9B
280,długo,,long; for a long time,,,https://en.wiktionary.org/wiki/d%C5%82ugo
281,tato,noun,dad,,,https://en.wiktionary.org/wiki/tato
282,każdy,,everyone; each,,,https://en.wiktionary.org/wiki/ka%C5%BCdy
283,twoim,pronoun,your (locative masculine/neuter),,,https://en.wiktionary.org/wiki/twoim
284,chciałem,,I wanted (masculine),,,https://en.wiktionary.org/wiki/chcia%C5%82em
285,dni,noun,days (genitive plural),,,https://en.wiktionary.org/wiki/dni
286,twojej,pronoun,your (feminine genitive/dative/locative),,,https://en.wiktionary.org/wiki/twojej
287,nadzieję,,hope (accusative),,,https://en.wiktionary.org/wiki/nadziej%C4%99
288,stanie,noun,state; condition; will stand,,,https://en.wiktionary.org/wiki/stanie
289,koniec,noun,"end, finish",,,https://en.wiktionary.org/wiki/koniec
290,znam,verb,I know (someone/something),,,https://en.wiktionary.org/wiki/znam
291,mamo,noun,mom; mum (vocative),,,https://en.wiktionary.org/wiki/mamo
292,swoją,,one's own (feminine accusative),,,https://en.wiktionary.org/wiki/swoj%C4%85
293,problem,noun,problem,,,https://en.wiktionary.org/wiki/problem
294,żyje,,he/she lives; is alive,,,https://en.wiktionary.org/wiki/%C5%BCyje
295,potrzebuję,,I need,,,https://en.wiktionary.org/wiki/potrzebuj%C4%99
296,widziałem,,I saw (masculine),,,https://en.wiktionary.org/wiki/widzia%C5%82em
297,spokój,,peace; calm,,,https://en.wiktionary.org/wiki/spok%C3%B3j
298,powiem,verb,I will say; I will tell,,,https://en.wiktionary.org/wiki/powiem
299,minut,noun,minutes (genitive plural),,,https://en.wiktionary.org/wiki/minut
300,broń,,weapon; gun; defend (imperative),,,https://en.wiktionary.org/wiki/bro%C5%84
301,panu,noun,sir; mister (dative),,,https://en.wiktionary.org/wiki/panu
302,mógł,,could; was able to (masculine),,,https://en.wiktionary.org/wiki/m%C3%B3g%C5%82
303,nami,pronoun,with us (instrumental),,,https://en.wiktionary.org/wiki/nami
304,wy,pronoun,; you,,,https://en.wiktionary.org/wiki/wy
305,nocy,noun,night (genitive/locative),,,https://en.wiktionary.org/wiki/nocy
306,wciąż,,still; constantly,,,https://en.wiktionary.org/wiki/wci%C4%85%C5%BC
307,znowu,adverb,"again, anew, once more",,,https://en.wiktionary.org/wiki/znowu
308,pieniądze,,money,,,https://en.wiktionary.org/wiki/pieni%C4%85dze
309,imię,,first name; given name,,,https://en.wiktionary.org/wiki/imi%C4%99
310,dnia,adverb,during a day; daily,,,https://en.wiktionary.org/wiki/dnia
311,zabić,,to kill,,,https://en.wiktionary.org/wiki/zabi%C4%87
312,drzwi,noun,door,,,https://en.wiktionary.org/wiki/drzwi
313,pierwszy,adjective,first,,,https://en.wiktionary.org/wiki/pierwszy
314,taka,pronoun,such; like this (feminine),,,https://en.wiktionary.org/wiki/taka
315,nasz,pronoun,; our,,,https://en.wiktionary.org/wiki/nasz
316,posłuchaj,,listen (imperative),,,https://en.wiktionary.org/wiki/pos%C5%82uchaj
317,ponieważ,,because,,,https://en.wiktionary.org/wiki/poniewa%C5%BC
318,słuchaj,,listen (imperative),,,https://en.wiktionary.org/wiki/s%C5%82uchaj
319,jakie,pronoun,what; which (neuter/plural),,,https://en.wiktionary.org/wiki/jakie
320,gdyby,conjunction,; if,,,https://en.wiktionary.org/wiki/gdyby
321,miło,,nice; pleasant,,,https://en.wiktionary.org/wiki/mi%C5%82o
322,spójrz,,look (imperative),,,https://en.wiktionary.org/wiki/sp%C3%B3jrz
323,chciałbym,,I would like (masculine),,,https://en.wiktionary.org/wiki/chcia%C5%82bym
324,sir,,sir (borrowed from English),,,https://en.wiktionary.org/wiki/sir
325,razie,noun,case; occasion,,,https://en.wiktionary.org/wiki/razie
326,nasze,pronoun,our (neuter/plural),,,https://en.wiktionary.org/wiki/nasze
327,dokładnie,,exactly; precisely,,,https://en.wiktionary.org/wiki/dok%C5%82adnie
328,czuję,,I feel,,,https://en.wiktionary.org/wiki/czuj%C4%99
329,zrobił,,he did; made,,,https://en.wiktionary.org/wiki/zrobi%C5%82
330,dobre,noun,"good, goodness",,,https://en.wiktionary.org/wiki/dobre
331,samo,adjective,itself; same (neuter),,,https://en.wiktionary.org/wiki/samo
332,nadal,adverb,still,,,https://en.wiktionary.org/wiki/nadal
333,człowiek,,person; human being,,,https://en.wiktionary.org/wiki/cz%C5%82owiek
334,twoją,,your (feminine accusative),,,https://en.wiktionary.org/wiki/twoj%C4%85
335,znaleźć,,to find,,,https://en.wiktionary.org/wiki/znale%C5%BA%C4%87
336,chwilę,,a moment; a while (accusative),,,https://en.wiktionary.org/wiki/chwil%C4%99
337,chciał,,he wanted,,,https://en.wiktionary.org/wiki/chcia%C5%82
338,kogo,pronoun,; whose,,,https://en.wiktionary.org/wiki/kogo
339,zostać,,to stay; to become,,,https://en.wiktionary.org/wiki/zosta%C4%87
340,czegoś,,something (genitive),,,https://en.wiktionary.org/wiki/czego%C5%9B
341,wszystkim,pronoun,everyone; everything (dative/instrumental),,,https://en.wiktionary.org/wiki/wszystkim
342,został,,he became; stayed; remained,,,https://en.wiktionary.org/wiki/zosta%C5%82
343,roku,noun,year (genitive),,,https://en.wiktionary.org/wiki/roku
344,mówić,,to speak; to say,,,https://en.wiktionary.org/wiki/m%C3%B3wi%C4%87
345,jesteście,,you are (plural),,,https://en.wiktionary.org/wiki/jeste%C5%9Bcie
346,facet,noun,"guy, fellow, chap",,,https://en.wiktionary.org/wiki/facet
347,mów,,say; speak (imperative),,,https://en.wiktionary.org/wiki/m%C3%B3w
348,powiedziałem,,I said (masculine),,,https://en.wiktionary.org/wiki/powiedzia%C5%82em
349,były,,they were (non-masculine personal),,,https://en.wiktionary.org/wiki/by%C5%82y
350,którzy,,who; which (masculine plural),,,https://en.wiktionary.org/wiki/kt%C3%B3rzy
351,dziecko,noun,child,,,https://en.wiktionary.org/wiki/dziecko
352,idziemy,verb,we are going,,,https://en.wiktionary.org/wiki/idziemy
353,sama,adjective,alone; herself (feminine),,,https://en.wiktionary.org/wiki/sama
354,macie,verb,you have (plural),,,https://en.wiktionary.org/wiki/macie
355,mówiłem,,I was saying; I said (masculine),,,https://en.wiktionary.org/wiki/m%C3%B3wi%C5%82em
356,we,preposition,in (variant of w before consonant clusters),,,https://en.wiktionary.org/wiki/we
357,napisy,noun,subtitles; captions,,,https://en.wiktionary.org/wiki/napisy
358,mogą,,they can,,,https://en.wiktionary.org/wiki/mog%C4%85
359,spokojnie,adverb,calmly,,,https://en.wiktionary.org/wiki/spokojnie
